NGS_ID	CpGisland	Methylation_value	Sample
109375	110	0.0606060606060606	KMT2B_1
109377	110	0.114285714285714	KMT2B_1
109379	110	0.0571428571428571	KMT2B_1
109381	110	0.0833333333333333	KMT2B_1
109383	110	0.05	KMT2B_1
109385	110	0.0512820512820513	KMT2B_1
109387	110	0.102040816326531	KMT2B_1
109389	110	0.121951219512195	KMT2B_1
109391	110	0.121951219512195	KMT2B_1
109393	110	0.102564102564103	KMT2B_1
109395	110	0.135135135135135	KMT2B_1
109399	110	0.155555555555556	KMT2B_1
109405	110	0.28	KMT2B_1
109407	110	0.28	KMT2B_1
109375	110	0.225806451612903	KMT2B_2
109377	110	0.253968253968254	KMT2B_2
109379	110	0.25	KMT2B_2
109381	110	0.258064516129032	KMT2B_2
109383	110	0.184615384615385	KMT2B_2
109385	110	0.211267605633803	KMT2B_2
109387	110	0.191780821917808	KMT2B_2
109389	110	0.126760563380282	KMT2B_2
109391	110	0.196969696969697	KMT2B_2
109393	110	0.208955223880597	KMT2B_2
109395	110	0.214285714285714	KMT2B_2
109399	110	0.191780821917808	KMT2B_2
109405	110	0.197368421052632	KMT2B_2
109407	110	0.152777777777778	KMT2B_2
109375	110	0.535714285714286	KMT2B_3
109377	110	0.535714285714286	KMT2B_3
109379	110	0.642857142857143	KMT2B_3
109381	110	0.655172413793104	KMT2B_3
109383	110	0.517241379310345	KMT2B_3
109385	110	0.555555555555556	KMT2B_3
109387	110	0.576923076923077	KMT2B_3
109389	110	0.666666666666667	KMT2B_3
109391	110	0.777777777777778	KMT2B_3
109393	110	0.653846153846154	KMT2B_3
109395	110	0.75	KMT2B_3
109399	110	0.8	KMT2B_3
109405	110	0.76	KMT2B_3
109407	110	0.791666666666667	KMT2B_3
109375	110	0.285714285714286	KMT2B_4
109377	110	0.285714285714286	KMT2B_4
109379	110	0.277777777777778	KMT2B_4
109381	110	0.277777777777778	KMT2B_4
109383	110	0.230769230769231	KMT2B_4
109385	110	0.238095238095238	KMT2B_4
109387	110	0.209302325581395	KMT2B_4
109389	110	0.225	KMT2B_4
109391	110	0.264705882352941	KMT2B_4
109393	110	0.3125	KMT2B_4
109395	110	0.277777777777778	KMT2B_4
109399	110	0.425	KMT2B_4
109405	110	0.540540540540541	KMT2B_4
109407	110	0.527777777777778	KMT2B_4
109375	110	0.21875	KMT2B_5
109377	110	0.215384615384615	KMT2B_5
109379	110	0.208955223880597	KMT2B_5
109381	110	0.171875	KMT2B_5
109383	110	0.164179104477612	KMT2B_5
109385	110	0.150684931506849	KMT2B_5
109387	110	0.154929577464789	KMT2B_5
109389	110	0.171875	KMT2B_5
109391	110	0.158730158730159	KMT2B_5
109393	110	0.2	KMT2B_5
109395	110	0.169491525423729	KMT2B_5
109399	110	0.17741935483871	KMT2B_5
109405	110	0.189655172413793	KMT2B_5
109407	110	0.245614035087719	KMT2B_5
109375	110	0.2	KMT2B_6
109377	110	0.189655172413793	KMT2B_6
109379	110	0.161290322580645	KMT2B_6
109381	110	0.228571428571429	KMT2B_6
109383	110	0.197368421052632	KMT2B_6
109385	110	0.255813953488372	KMT2B_6
109387	110	0.291666666666667	KMT2B_6
109389	110	0.292134831460674	KMT2B_6
109391	110	0.303370786516854	KMT2B_6
109393	110	0.30952380952381	KMT2B_6
109395	110	0.313953488372093	KMT2B_6
109399	110	0.301075268817204	KMT2B_6
109405	110	0.32258064516129	KMT2B_6
109407	110	0.373626373626374	KMT2B_6
109375	110	0.193548387096774	KMT2B_7
109377	110	0.151515151515152	KMT2B_7
109379	110	0.151515151515152	KMT2B_7
109381	110	0.138888888888889	KMT2B_7
109383	110	0.19047619047619	KMT2B_7
109385	110	0.24390243902439	KMT2B_7
109387	110	0.211538461538462	KMT2B_7
109389	110	0.195652173913043	KMT2B_7
109391	110	0.263157894736842	KMT2B_7
109393	110	0.228571428571429	KMT2B_7
109395	110	0.264705882352941	KMT2B_7
109399	110	0.277777777777778	KMT2B_7
109405	110	0.242424242424242	KMT2B_7
109407	110	0.225806451612903	KMT2B_7
109375	110	0.2375	KMT2B_8
109377	110	0.246913580246914	KMT2B_8
109379	110	0.226190476190476	KMT2B_8
109381	110	0.272727272727273	KMT2B_8
109383	110	0.2375	KMT2B_8
109385	110	0.291139240506329	KMT2B_8
109387	110	0.265822784810127	KMT2B_8
109389	110	0.2875	KMT2B_8
109391	110	0.267605633802817	KMT2B_8
109393	110	0.235294117647059	KMT2B_8
109395	110	0.23943661971831	KMT2B_8
109399	110	0.222222222222222	KMT2B_8
109405	110	0.166666666666667	KMT2B_8
109407	110	0.178571428571429	KMT2B_8
109375	110	0.148148148148148	KMT2B_9
109377	110	0.142857142857143	KMT2B_9
109379	110	0.137931034482759	KMT2B_9
109381	110	0.121212121212121	KMT2B_9
109383	110	0.108108108108108	KMT2B_9
109385	110	0.0909090909090909	KMT2B_9
109387	110	0.0975609756097561	KMT2B_9
109389	110	0.027027027027027	KMT2B_9
109391	110	0.0588235294117647	KMT2B_9
109393	110	0.0571428571428571	KMT2B_9
109395	110	0.0606060606060606	KMT2B_9
109399	110	0.0588235294117647	KMT2B_9
109405	110	0.0285714285714286	KMT2B_9
109407	110	0.0303030303030303	KMT2B_9
109375	110	0.163046757164403	control_median
109377	110	0.179512258737611	control_median
109379	110	0.170625942684766	control_median
109381	110	0.163907734056988	control_median
109383	110	0.160714285714286	control_median
109385	110	0.164415184678522	control_median
109387	110	0.160864682762493	control_median
109389	110	0.153518123667377	control_median
109391	110	0.169537480063796	control_median
109393	110	0.172374429223744	control_median
109395	110	0.175191815856777	control_median
109399	110	0.184758529020824	control_median
109405	110	0.166607365237502	control_median
109407	110	0.187051971326165	control_median
109375	110	0.132845983610289	control_std
109377	110	0.138358864001303	control_std
109379	110	0.134274556703681	control_std
109381	110	0.131264889304454	control_std
109383	110	0.116239574541613	control_std
109385	110	0.128465643113225	control_std
109387	110	0.132459971024942	control_std
109389	110	0.131195506352408	control_std
109391	110	0.124737421275767	control_std
109393	110	0.133396477921674	control_std
109395	110	0.127694152696381	control_std
109399	110	0.144766997645555	control_std
109405	110	0.133192032430858	control_std
109407	110	0.1318478774364	control_std
597319	377	0.136363636363636	KMT2B_1
597321	377	0.121212121212121	KMT2B_1
597323	377	0.0806451612903226	KMT2B_1
597325	377	0.0967741935483871	KMT2B_1
597327	377	0.152542372881356	KMT2B_1
597329	377	0.156862745098039	KMT2B_1
597331	377	0.208333333333333	KMT2B_1
597333	377	0.191489361702128	KMT2B_1
597335	377	0.0731707317073171	KMT2B_1
597337	377	0.351351351351351	KMT2B_1
597339	377	0.285714285714286	KMT2B_1
597341	377	0.351351351351351	KMT2B_1
597343	377	0.232558139534884	KMT2B_1
597345	377	0.170731707317073	KMT2B_1
597347	377	0.181818181818182	KMT2B_1
597349	377	0.161290322580645	KMT2B_1
597351	377	0.3	KMT2B_1
597353	377	0.275862068965517	KMT2B_1
597355	377	0.310344827586207	KMT2B_1
597357	377	0.228571428571429	KMT2B_1
597359	377	0.2	KMT2B_1
597361	377	0.210526315789474	KMT2B_1
597363	377	0.210526315789474	KMT2B_1
597365	377	0.179487179487179	KMT2B_1
597367	377	0.146341463414634	KMT2B_1
597369	377	0.2	KMT2B_1
597371	377	0.15	KMT2B_1
597373	377	0.136363636363636	KMT2B_1
597375	377	0.133333333333333	KMT2B_1
597377	377	0.0930232558139535	KMT2B_1
597379	377	0.0476190476190476	KMT2B_1
597381	377	0.0465116279069767	KMT2B_1
597383	377	0.0465116279069767	KMT2B_1
597385	377	0.0222222222222222	KMT2B_1
597387	377	0.116279069767442	KMT2B_1
597389	377	0.0952380952380952	KMT2B_1
597391	377	0.170731707317073	KMT2B_1
597393	377	0.105263157894737	KMT2B_1
597395	377	0.075	KMT2B_1
597397	377	0.1	KMT2B_1
597399	377	0.105263157894737	KMT2B_1
597319	377	0.127118644067797	KMT2B_2
597321	377	0.0427350427350427	KMT2B_2
597323	377	0.0672268907563025	KMT2B_2
597325	377	0.0731707317073171	KMT2B_2
597327	377	0.175	KMT2B_2
597329	377	0.224489795918367	KMT2B_2
597331	377	0.239130434782609	KMT2B_2
597333	377	0.21978021978022	KMT2B_2
597335	377	0.184782608695652	KMT2B_2
597337	377	0.264367816091954	KMT2B_2
597339	377	0.253333333333333	KMT2B_2
597341	377	0.19047619047619	KMT2B_2
597343	377	0.265822784810127	KMT2B_2
597345	377	0.141025641025641	KMT2B_2
597347	377	0.185714285714286	KMT2B_2
597349	377	0.121212121212121	KMT2B_2
597351	377	0.226415094339623	KMT2B_2
597353	377	0.207547169811321	KMT2B_2
597355	377	0.228070175438596	KMT2B_2
597357	377	0.258620689655172	KMT2B_2
597359	377	0.15	KMT2B_2
597361	377	0.1875	KMT2B_2
597363	377	0.129032258064516	KMT2B_2
597365	377	0.15	KMT2B_2
597367	377	0.0645161290322581	KMT2B_2
597369	377	0.151515151515152	KMT2B_2
597371	377	0.25	KMT2B_2
597373	377	0.242424242424242	KMT2B_2
597375	377	0.166666666666667	KMT2B_2
597377	377	0.181818181818182	KMT2B_2
597379	377	0.203125	KMT2B_2
597381	377	0.0597014925373134	KMT2B_2
597383	377	0.0476190476190476	KMT2B_2
597385	377	0.125	KMT2B_2
597387	377	0.1875	KMT2B_2
597389	377	0.227272727272727	KMT2B_2
597391	377	0.377049180327869	KMT2B_2
597393	377	0.328125	KMT2B_2
597395	377	0.25	KMT2B_2
597397	377	0.309090909090909	KMT2B_2
597399	377	0.280701754385965	KMT2B_2
597319	377	0.290322580645161	KMT2B_3
597321	377	0.161290322580645	KMT2B_3
597323	377	0.275862068965517	KMT2B_3
597325	377	0.230769230769231	KMT2B_3
597327	377	0.269230769230769	KMT2B_3
597329	377	0.409090909090909	KMT2B_3
597331	377	0.409090909090909	KMT2B_3
597333	377	0.488888888888889	KMT2B_3
597335	377	0.325	KMT2B_3
597337	377	0.5	KMT2B_3
597339	377	0.424242424242424	KMT2B_3
